,Sourcils_Arqués,Chauve,Gros_Nez,Cheveux_Noirs,Cheveux_Blonds,Flou,Cheveux_Bruns,Sourcils_Fournis,Lunettes,Cheveux_Gris,Homme,Moustache,Imberbe,Nez_Pointu,Jeune
120699.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
077201.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
139994.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1
187057.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
026025.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
127440.jpg,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1
142743.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
055478.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
005110.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
198749.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
120995.jpg,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1
141261.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
192730.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
179719.jpg,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1
086999.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
080326.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
050430.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
093284.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
158757.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
111541.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
032435.jpg,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
009803.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
095900.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
095810.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
049033.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
014038.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
020579.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
044742.jpg,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1
004276.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
068643.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1
171400.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1
053623.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1
135378.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
188515.jpg,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1
032458.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
009981.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
041557.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
142478.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
163068.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
102811.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
061346.jpg,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1
078307.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
137457.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
095452.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1
037991.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
086745.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
066896.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
073418.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
186309.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
091761.jpg,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
156675.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1
183407.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
052218.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
178468.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
112638.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
057547.jpg,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1
095366.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
107241.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
108752.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
178539.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
081741.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
153341.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
116178.jpg,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1
136526.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
150193.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
096677.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
000544.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
080395.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,-1
167589.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
102689.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
175892.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
105331.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
061600.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
139968.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
083262.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
121059.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
101608.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
124654.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1
016593.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
115818.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
068880.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
117442.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
066944.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
014751.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
049243.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
083810.jpg,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1
178850.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
165420.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
156962.jpg,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1
033028.jpg,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
092051.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
061948.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
008920.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
000851.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1
167522.jpg,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1
074809.jpg,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1
018872.jpg,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1
091603.jpg,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1
072115.jpg,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1
161680.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1
098568.jpg,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1
028350.jpg,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1
065650.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,-1
161257.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
005897.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
023947.jpg,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1
052107.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
004025.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
061024.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
135629.jpg,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
142304.jpg,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1
193101.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
157205.jpg,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
147441.jpg,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1
033384.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
129132.jpg,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1
150860.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
013289.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
088301.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1
179400.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
180147.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
021870.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
025280.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
169757.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1
191057.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
013560.jpg,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
157374.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
100829.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
158904.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
066530.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
044823.jpg,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1
123850.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
193259.jpg,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1
087949.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
162899.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
163069.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
110422.jpg,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
013825.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
145591.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
181624.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
033046.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
093284.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
168974.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
171525.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1
056865.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
202490.jpg,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
086039.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
016418.jpg,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1
145704.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
068269.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
107643.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
158289.jpg,1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
021642.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1
138988.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
075329.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
030141.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
060955.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
036299.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
158155.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
065059.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
016073.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
181077.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
130307.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
109110.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1
196280.jpg,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
122273.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
031074.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
157395.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
180390.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
014370.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
169319.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
121561.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
065501.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1
035426.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
001372.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
187642.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
164147.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
095559.jpg,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1
107311.jpg,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1
068859.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
158466.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
037641.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
127353.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
140611.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
110414.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1
147245.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
062484.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
177301.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
051275.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
024607.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
024442.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
026566.jpg,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1
114025.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
014643.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
093273.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
121286.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
072528.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
102368.jpg,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
145452.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
086137.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
156326.jpg,-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
096810.jpg,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1
136724.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1
031300.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
061662.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
143827.jpg,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1
053648.jpg,1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1
193232.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
023916.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
157372.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1
107336.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
068686.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
201635.jpg,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
005133.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
061079.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
083255.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
074896.jpg,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
122780.jpg,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
105723.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
100276.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
181379.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
057898.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1
157651.jpg,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
190601.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1
149126.jpg,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,1
046332.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1
045515.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1
050248.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1
163736.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
038595.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1
037414.jpg,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
184564.jpg,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1
143464.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1
062034.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
037603.jpg,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1
173668.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
030669.jpg,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,1,1
162745.jpg,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
147393.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
034538.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
052211.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
145452.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
081741.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
012389.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
019414.jpg,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
101173.jpg,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1
133742.jpg,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1
163864.jpg,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1
168953.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1
135501.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1
034085.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
114899.jpg,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1
120024.jpg,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1
178814.jpg,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
149541.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
159492.jpg,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
078220.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
179546.jpg,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
189919.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
146742.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
167047.jpg,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1
